[22:35:18] [INFO] received Windows console close event; shutting log-core down
[22:36:05] [INFO] received Windows console close event; shutting log-core down
[22:36:49] [INFO] received Windows console close event; shutting log-core down
[22:41:41] [INFO] received Windows console close event; shutting log-core down
[22:41:45] [INFO] received Windows console close event; shutting log-core down
[22:41:53] [INFO] received Windows console close event; shutting log-core down
[22:42:04] [INFO] received Windows console close event; shutting log-core down
[23:13:09] [INFO] received Windows console close event; shutting log-core down
[23:21:29] [INFO] received Windows console close event; shutting log-core down
[07:41:52] [INFO] received Windows console close event; shutting log-core down
[08:44:16] [INFO] received Windows console close event; shutting log-core down
[17:13:10] [INFO] received Windows console close event; shutting log-core down
[17:36:57] [INFO] received Windows console close event; shutting log-core down
[09:35:48] [INFO] received Windows console close event; shutting log-core down
